aX,aY,aZ,gX,gY,gZ
1.352,0.905,1.066,0.183,-16.846,-28.748
1.460,0.927,1.075,-5.615,-31.921,-42.847
1.631,0.863,1.092,-5.188,-47.913,-63.477
1.795,0.832,1.107,-0.488,-67.871,-84.839
1.920,0.781,1.075,4.211,-91.064,-108.826
2.015,0.686,1.031,11.292,-112.122,-136.780
2.074,0.613,0.982,19.226,-127.380,-168.945
2.071,0.560,0.883,26.123,-131.226,-206.604
2.010,0.517,0.738,31.189,-127.563,-250.916
1.899,0.490,0.506,30.579,-120.972,-295.593
1.747,0.504,0.222,30.640,-115.173,-341.797
1.560,0.617,-0.093,28.076,-105.713,-389.038
1.323,0.790,-0.360,11.719,-93.384,-439.880
1.015,0.968,-0.524,-19.104,-85.571,-490.479
0.559,1.208,-0.561,-54.749,-80.688,-536.255
-0.069,1.428,-0.441,-92.896,-78.369,-564.148
-0.793,1.529,-0.119,-119.507,-76.538,-565.125
-1.372,1.666,0.002,-125.122,-60.974,-523.071
-1.772,1.720,0.144,-116.333,-51.575,-459.106
-1.937,1.861,0.122,-118.652,-57.007,-374.756
-1.946,1.886,0.313,-120.972,-89.600,-286.560
-1.871,1.911,0.468,-120.911,-127.991,-204.407
-1.707,1.868,0.662,-115.173,-150.818,-139.587
-1.519,1.738,0.756,-106.140,-150.818,-96.436
-1.358,1.627,0.844,-97.229,-135.376,-70.862
-1.269,1.457,0.889,-80.383,-114.258,-60.303
-1.201,1.273,0.887,-61.584,-91.858,-55.908
-1.347,1.350,1.171,-52.429,-79.163,-46.753
-1.348,1.182,1.111,-57.068,-84.473,-31.189
-1.143,0.949,1.027,-32.410,-108.032,-6.104
-0.934,0.842,0.790,-9.521,-121.277,28.198
-0.843,0.714,0.671,-4.333,-108.765,36.377
-0.814,0.635,0.675,-10.620,-84.961,28.687
-0.871,0.625,0.726,-18.066,-57.739,24.353
-0.922,0.643,0.777,-21.790,-31.189,29.175
-0.873,0.669,0.797,-16.418,-10.376,37.964
-0.825,0.710,0.827,-6.409,-0.671,47.180
-0.805,0.732,0.790,-2.686,-0.610,54.932
-0.770,0.691,0.768,-2.869,-6.897,60.181
-0.721,0.664,0.767,-1.282,-15.320,67.444
-0.614,0.633,0.823,1.343,-18.188,75.500
-0.473,0.658,0.843,5.737,-9.338,80.383
-0.410,0.610,0.789,10.437,2.869,75.195
-0.358,0.611,0.737,19.165,6.653,66.162
-0.422,0.560,0.694,22.461,6.409,58.411
-0.416,0.539,0.697,24.719,11.169,54.749
-0.412,0.504,0.716,28.442,21.912,55.908
-0.395,0.478,0.745,29.175,35.461,60.364
-0.345,0.481,0.769,30.762,46.692,66.589
-0.276,0.501,0.775,29.663,53.040,72.632
-0.224,0.498,0.788,23.682,51.270,74.829
-0.208,0.479,0.825,16.174,43.274,73.608
-0.192,0.450,0.871,10.986,35.950,71.289
-0.171,0.447,0.889,7.935,32.532,69.885
-0.147,0.450,0.875,3.784,32.043,66.895
-0.145,0.427,0.873,-1.160,30.273,61.523
-0.164,0.423,0.888,-0.183,28.931,56.702
-0.209,0.431,0.895,5.554,30.823,54.993
-0.229,0.441,0.890,12.939,34.424,56.091
-0.253,0.452,0.863,17.212,39.246,59.631
-0.231,0.452,0.828,19.043,40.344,64.392
-0.215,0.461,0.823,19.470,35.706,70.984
-0.213,0.468,0.843,19.165,28.931,77.515
-0.188,0.474,0.852,18.250,23.743,82.581
-0.153,0.484,0.856,15.991,20.203,84.595
-0.152,0.487,0.846,11.230,16.785,82.031
-0.159,0.470,0.851,4.395,15.686,76.660
-0.180,0.438,0.868,3.723,18.066,72.998
-0.196,0.430,0.875,6.165,23.132,72.449
-0.179,0.433,0.867,6.531,29.663,73.486
-0.189,0.438,0.878,7.080,31.982,75.989
-0.197,0.442,0.898,8.179,32.043,79.163
-0.205,0.449,0.918,9.338,32.043,82.092
-0.223,0.437,0.928,9.766,32.349,84.778
-0.226,0.417,0.924,9.949,33.508,87.280
-0.248,0.394,0.916,11.108,36.011,90.820
-0.234,0.375,0.898,14.038,41.016,95.093
-0.195,0.379,0.869,16.541,45.532,98.816
-0.185,0.369,0.848,16.968,46.143,100.098
-0.194,0.355,0.845,17.395,44.800,99.365
-0.196,0.357,0.856,20.508,46.631,99.915
-0.158,0.373,0.843,23.315,54.016,101.501
-0.115,0.392,0.824,21.484,60.547,101.013
-0.122,0.386,0.836,18.738,59.814,96.985
-0.145,0.370,0.862,17.883,56.030,93.140
-0.161,0.350,0.876,16.602,54.260,90.637
-0.171,0.333,0.890,14.771,54.810,89.844
-0.158,0.330,0.902,15.259,55.847,91.309
-0.166,0.308,0.894,17.639,55.664,93.689
-0.140,0.301,0.898,15.869,52.551,96.680
-0.111,0.293,0.889,16.357,46.936,99.182
-0.065,0.296,0.877,16.602,39.856,100.037
-0.042,0.288,0.871,15.076,32.043,97.412
-0.039,0.269,0.870,14.099,26.245,91.370
-0.058,0.265,0.865,14.099,24.841,83.618
-0.106,0.254,0.860,13.184,30.273,75.684
-0.155,0.246,0.862,13.306,41.931,69.153
-0.224,0.231,0.849,14.221,58.533,65.918
-0.247,0.222,0.820,14.465,75.439,68.665
-0.234,0.227,0.770,14.526,88.196,76.538
1.982,0.960,1.254,31.677,-127.686,-151.428
2.000,0.913,1.147,42.236,-125.488,-207.031
1.872,0.775,1.014,45.654,-124.756,-260.254
1.872,0.701,0.876,52.612,-127.258,-303.772
1.793,0.720,0.685,73.853,-131.287,-339.539
1.720,0.833,0.461,88.501,-138.428,-373.779
1.593,1.019,0.197,91.064,-147.522,-415.405
1.356,1.192,-0.086,79.468,-152.771,-468.384
1.019,1.350,-0.314,58.838,-148.071,-523.804
0.623,1.530,-0.425,32.654,-126.709,-568.054
0.105,1.764,-0.357,4.639,-85.327,-596.008
-0.547,1.909,-0.137,-20.813,-38.635,-605.530
-1.118,1.982,0.024,-41.504,-5.310,-580.566
-1.577,2.044,0.041,-62.927,-4.883,-514.526
-1.964,2.112,0.094,-87.708,-54.443,-419.434
-2.197,2.089,0.310,-106.995,-135.498,-316.345
-2.261,1.966,0.614,-109.131,-204.468,-220.520
-2.132,1.803,0.782,-100.403,-232.666,-141.724
-1.908,1.664,0.769,-76.965,-222.351,-88.318
-1.745,1.532,0.686,-44.128,-190.369,-57.861
-1.620,1.390,0.579,-16.052,-148.560,-43.213
-1.575,1.161,0.460,11.719,-108.948,-38.696
-1.482,0.978,0.324,27.710,-73.669,-29.297
-1.414,0.830,0.294,23.010,-53.101,-10.620
-1.302,0.759,0.286,0.061,-45.776,14.099
-1.137,0.683,0.297,-16.479,-39.368,37.109
-1.017,0.619,0.399,-26.001,-49.744,46.753
-0.904,0.595,0.545,-37.476,-61.829,52.429
-0.791,0.578,0.660,-49.866,-60.303,55.237
-0.706,0.576,0.756,-57.983,-48.340,55.176
-0.653,0.579,0.836,-58.289,-34.180,50.720
-0.632,0.591,0.909,-51.941,-19.043,44.006
-0.637,0.607,0.948,-44.006,-0.916,38.757
-0.638,0.611,0.950,-31.372,19.287,35.095
-0.639,0.606,0.923,-16.663,34.668,33.630
-0.653,0.620,0.887,-3.418,42.969,36.682
-0.646,0.595,0.843,2.258,45.166,42.725
-0.608,0.568,0.808,4.089,41.809,52.856
-0.518,0.567,0.779,4.883,33.813,65.552
-0.408,0.581,0.764,4.517,21.851,76.355
-0.335,0.599,0.797,2.380,7.385,81.238
-0.290,0.594,0.868,-0.916,-3.479,79.041
-0.264,0.570,0.924,-4.333,-4.456,72.388
-0.255,0.560,0.967,-2.686,4.822,64.758
-0.276,0.591,0.990,8.789,21.912,58.044
-0.305,0.551,0.977,20.935,40.955,51.331
-0.342,0.542,0.947,26.733,59.631,45.105
-0.363,0.525,0.897,33.569,72.937,45.105
-0.385,0.530,0.842,37.537,78.064,49.377
-0.378,0.520,0.791,36.499,74.951,55.176
-0.327,0.496,0.755,29.663,62.805,62.012
-0.290,0.485,0.753,19.165,41.565,69.580
-0.256,0.469,0.788,8.728,18.921,75.256
-0.220,0.442,0.838,-0.977,0.916,78.369
-0.182,0.431,0.887,-7.751,-8.118,79.407
-0.151,0.433,0.931,-11.536,-7.202,77.209
-0.158,0.434,0.974,-11.902,0.549,70.862
-0.204,0.424,1.001,-10.071,13.245,60.791
-0.247,0.410,0.999,-2.563,29.785,51.453
-0.275,0.412,0.958,6.714,45.105,45.471
-0.318,0.411,0.912,14.343,54.321,42.664
-0.346,0.403,0.874,19.043,55.725,43.091
-0.357,0.386,0.835,19.958,50.720,47.668
-0.356,0.377,0.808,16.846,39.490,55.786
-0.329,0.374,0.802,11.780,25.757,64.575
-0.303,0.367,0.813,5.554,11.963,72.021
-0.289,0.355,0.843,-0.366,2.136,76.355
-0.275,0.355,0.880,-3.479,-0.610,78.186
-0.262,0.350,0.911,-4.028,4.028,77.515
-0.267,0.336,0.927,-2.441,13.184,75.073
-0.289,0.328,0.938,2.136,25.513,71.960
-0.324,0.318,0.932,8.362,39.063,69.763
-0.369,0.294,0.931,16.357,50.903,68.970
-0.402,0.284,0.913,21.423,59.998,71.838
-0.392,0.284,0.874,23.193,65.369,78.125
-0.361,0.295,0.824,21.729,63.904,84.534
-0.326,0.304,0.797,18.738,54.443,89.966
-0.291,0.317,0.788,15.564,40.527,93.140
-0.272,0.321,0.794,10.498,27.344,93.872
-0.267,0.310,0.818,4.578,19.348,93.018
-0.271,0.288,0.843,0.366,19.531,91.064
-0.277,0.269,0.853,-0.793,26.672,89.417
-0.281,0.264,0.858,0.366,37.292,87.708
-0.270,0.272,0.848,2.747,49.011,85.754
-0.261,0.284,0.831,4.761,58.105,82.703
-0.261,0.291,0.821,7.141,62.439,79.285
-0.249,0.297,0.806,9.094,64.575,77.637
-0.236,0.316,0.797,7.874,63.965,76.965
-0.250,0.327,0.807,3.845,60.852,76.843
-0.269,0.314,0.825,-0.793,57.068,78.003
-0.285,0.296,0.844,-3.662,55.115,81.787
-0.276,0.277,0.846,-3.967,55.481,87.646
-0.258,0.284,0.837,-2.014,56.946,93.994
-0.240,0.309,0.819,-0.732,57.678,98.083
-0.196,0.330,0.814,-1.709,58.167,98.938
-0.182,0.340,0.831,-4.456,55.603,96.680
-0.163,0.337,0.860,-7.935,50.781,94.360
-0.140,0.332,0.874,-10.925,46.753,93.018
-0.120,0.320,0.879,-13.123,44.189,93.872
-0.117,0.293,0.900,-13.184,42.725,95.459
-1.396,2.044,-0.688,-18.555,-89.783,-562.988
-1.787,1.970,-0.560,-70.374,-123.047,-493.591
-2.108,1.869,-0.300,-113.342,-174.438,-401.489
-2.292,1.755,0.062,-136.841,-218.079,-304.077
-2.285,1.594,0.396,-138.428,-227.600,-217.896
-2.132,1.463,0.594,-117.676,-200.867,-151.428
-1.936,1.349,0.649,-83.862,-152.466,-106.262
-1.722,1.226,0.590,-51.025,-101.135,-77.332
-1.529,1.121,0.501,-25.330,-58.960,-56.824
-1.351,1.012,0.425,-9.705,-37.415,-41.504
-1.212,0.882,0.423,-2.014,-36.072,-29.907
-1.080,0.802,0.453,-8.057,-39.429,-13.611
-0.970,0.752,0.491,-19.531,-40.039,7.446
-0.842,0.691,0.590,-25.879,-45.959,21.301
-0.768,0.647,0.683,-29.114,-49.927,27.771
-0.718,0.610,0.801,-34.180,-44.983,33.936
-0.674,0.585,0.889,-39.307,-30.457,39.185
-0.631,0.550,0.951,-33.081,-11.169,39.856
-0.598,0.553,0.996,-18.799,2.075,36.133
-0.600,0.565,1.002,-8.057,12.146,31.006
-0.594,0.578,0.961,-6.104,20.874,26.428
-0.578,0.578,0.898,-5.615,25.696,22.766
-0.566,0.570,0.846,-3.174,22.949,20.630
-0.539,0.544,0.806,-2.075,14.893,21.240
-0.478,0.532,0.779,-3.296,6.897,27.588
-0.396,0.527,0.766,-6.592,0.000,36.560
-0.302,0.528,0.789,-10.559,-7.446,43.884
-0.242,0.530,0.845,-13.306,-13.550,47.241
-0.203,0.523,0.911,-10.559,-14.526,46.021
-0.187,0.507,0.970,-1.221,-9.277,40.405
-0.193,0.505,0.990,12.756,1.465,32.593
-0.219,0.506,0.989,29.358,16.296,23.865
-0.262,0.504,0.951,43.640,31.677,15.320
-0.308,0.489,0.882,51.697,43.701,8.545
-0.347,0.474,0.808,50.964,49.011,5.432
-0.378,0.454,0.756,44.556,47.363,7.568
-0.392,0.440,0.721,37.354,40.283,14.038
-0.371,0.448,0.688,29.419,30.212,22.766
-0.324,0.468,0.698,19.348,17.212,30.029
-0.350,0.454,0.686,10.925,3.967,33.875
-0.338,0.450,0.757,3.235,-4.761,36.804
-0.339,0.439,0.824,-0.671,-8.606,38.452
-0.343,0.441,0.873,0.488,-5.920,39.124
-0.350,0.459,0.894,4.700,1.953,39.307
-0.352,0.471,0.890,7.385,11.292,37.415
-0.354,0.467,0.874,9.888,20.752,34.363
-0.365,0.467,0.852,12.390,27.222,31.128
-0.386,0.468,0.833,12.512,30.334,28.748
-0.375,0.472,0.801,8.911,31.616,29.358
-0.391,0.478,0.792,3.967,29.114,30.640
-0.447,0.485,0.805,0.671,24.292,31.860
-0.495,0.471,0.846,-0.488,22.522,34.790
-0.515,0.459,0.860,2.869,24.292,40.527
-0.501,0.465,0.848,8.850,28.076,48.584
-0.484,0.472,0.825,13.489,29.724,55.603
-0.461,0.460,0.814,15.564,27.893,60.608
-0.427,0.450,0.812,15.930,25.452,65.063
-0.392,0.440,0.816,14.954,23.499,68.359
-0.362,0.435,0.820,12.146,21.729,68.542
-0.356,0.430,0.840,8.728,20.813,65.857
-0.364,0.420,0.857,6.470,22.705,61.523
-0.379,0.410,0.862,4.883,28.259,56.152
-0.402,0.402,0.857,4.822,35.461,51.453
-0.431,0.391,0.849,5.920,42.786,48.035
-0.455,0.380,0.849,9.094,48.035,47.363
-0.475,0.381,0.853,12.878,52.368,50.964
-0.493,0.372,0.868,14.648,54.504,58.777
-0.481,0.356,0.874,15.625,54.321,69.031
-0.447,0.355,0.867,16.296,51.025,80.200
-0.414,0.349,0.855,14.343,44.922,88.867
-0.392,0.328,0.852,11.047,37.476,92.468
-0.379,0.319,0.851,8.057,31.799,92.224
-0.372,0.313,0.856,5.432,29.541,88.928
-0.368,0.295,0.851,2.319,31.555,84.595
-0.361,0.286,0.849,0.183,36.865,81.177
-0.353,0.286,0.840,-0.732,43.640,79.956
-0.351,0.289,0.844,-1.038,49.133,79.956
-0.359,0.293,0.852,0.305,52.795,81.055
-0.358,0.306,0.857,2.991,55.847,84.656
-0.356,0.327,0.853,4.822,58.105,89.722
-0.333,0.339,0.836,5.005,59.204,93.567
-0.312,0.355,0.818,4.333,58.411,94.971
-0.294,0.353,0.814,3.540,54.810,93.811
-0.275,0.346,0.814,3.235,50.110,92.834
-0.268,0.338,0.821,2.441,46.204,93.689
-0.246,0.325,0.825,1.648,43.945,96.008
-0.218,0.325,0.828,0.793,43.579,99.304
-0.218,0.327,0.830,-0.366,44.006,101.624
-0.220,0.329,0.831,-2.380,45.837,102.112
-0.234,0.321,0.835,-4.150,50.354,102.722
-0.238,0.308,0.831,-4.028,57.007,105.225
-0.198,0.306,0.816,-2.197,65.552,110.352
-0.113,0.331,0.787,-0.854,71.899,116.089
-0.040,0.359,0.787,-2.014,70.618,118.835
-0.014,0.357,0.822,-5.310,61.157,117.004
-0.008,0.332,0.874,-8.484,50.354,112.732
0.024,0.307,0.918,-9.094,44.250,108.948
-0.029,0.314,0.939,-7.324,42.480,103.638
-0.041,0.321,0.932,-4.211,46.021,101.196
-0.038,0.316,0.901,-1.831,54.688,98.999
-2.227,2.006,0.562,-45.532,-75.928,-336.304
-2.312,1.879,0.667,-55.115,-135.864,-253.723
-2.321,1.694,0.786,-54.443,-179.749,-178.833
-2.220,1.501,0.864,-42.908,-193.176,-117.615
-2.061,1.334,0.815,-27.832,-173.950,-70.862
-1.847,1.161,0.702,-12.878,-132.324,-38.452
-1.637,0.978,0.595,-0.549,-92.468,-17.334
-1.468,0.787,0.519,9.827,-61.462,-6.531
-1.310,0.654,0.445,6.653,-33.508,13.123
-1.137,0.513,0.422,6.287,-18.982,30.273
-0.932,0.415,0.455,2.686,-24.658,42.664
-0.765,0.352,0.507,-7.690,-35.217,55.237
-0.660,0.332,0.571,-28.625,-44.861,66.772
-0.602,0.319,0.664,-52.307,-49.072,73.059
-0.529,0.318,0.755,-72.021,-45.166,74.158
-0.482,0.336,0.841,-81.787,-33.264,70.801
-0.465,0.347,0.907,-79.407,-13.794,64.270
-0.472,0.374,0.952,-69.214,7.507,55.542
-0.488,0.389,0.979,-55.359,26.917,48.950
-0.503,0.384,0.966,-39.368,39.856,42.480
-0.485,0.372,0.917,-22.095,46.692,39.490
-0.451,0.375,0.855,-10.925,44.250,44.556
-0.399,0.359,0.817,-6.470,33.020,54.688
-0.326,0.334,0.801,-5.798,18.494,65.918
-0.238,0.323,0.807,-7.080,3.052,75.195
-0.158,0.321,0.839,-9.033,-10.193,79.956
-0.111,0.306,0.893,-10.132,-19.409,78.003
-0.102,0.283,0.935,-9.766,-22.400,69.275
-0.098,0.277,0.978,-3.418,-14.893,57.251
-0.112,0.280,0.986,5.676,1.099,44.250
-0.129,0.280,0.956,13.123,20.508,30.579
-0.154,0.279,0.907,19.958,38.330,18.860
-0.173,0.305,0.858,24.719,51.208,11.414
-0.201,0.314,0.823,24.719,56.213,6.958
-0.237,0.318,0.801,21.973,53.711,4.761
-0.276,0.331,0.794,18.860,45.471,6.470
-0.319,0.356,0.810,16.846,36.194,11.414
-0.347,0.370,0.823,12.756,27.771,17.944
-0.343,0.370,0.831,6.348,20.508,24.780
-0.341,0.383,0.849,2.014,13.428,31.311
-0.325,0.402,0.847,-1.709,8.789,37.170
-0.309,0.400,0.857,-7.141,5.432,39.978
-0.304,0.404,0.881,-9.399,5.127,41.687
-0.326,0.409,0.909,-9.216,8.789,42.542
-0.355,0.406,0.928,-7.629,15.869,42.908
-0.381,0.399,0.938,-5.005,25.085,42.664
-0.413,0.398,0.926,-1.038,32.959,42.725
-0.440,0.398,0.898,2.380,37.231,43.152
-0.453,0.393,0.861,4.150,38.025,43.640
-0.444,0.383,0.825,3.479,36.377,45.898
-0.417,0.384,0.813,0.244,31.494,50.049
-0.401,0.379,0.823,-5.615,23.499,54.749
-0.388,0.362,0.861,-11.780,15.991,59.204
-0.370,0.348,0.896,-15.564,11.902,64.209
-0.354,0.348,0.932,-17.395,10.864,67.871
-0.359,0.348,0.972,-17.395,12.085,69.519
-0.364,0.348,1.000,-13.794,17.090,70.068
-0.356,0.353,0.999,-7.629,25.452,69.702
-0.346,0.359,0.982,-1.343,33.630,67.810
-0.358,0.368,0.963,3.052,39.246,65.125
-0.379,0.355,0.951,6.226,42.664,62.256
-0.377,0.317,0.938,6.714,45.593,61.829
-0.393,0.293,0.920,7.385,47.791,65.430
-0.414,0.288,0.894,8.850,48.340,70.007
-0.432,0.288,0.859,10.071,48.706,74.280
-0.436,0.273,0.812,9.766,49.377,77.942
-0.432,0.252,0.770,7.446,50.415,82.703
-0.424,0.249,0.754,5.066,52.063,89.722
-0.409,0.264,0.747,2.563,55.176,98.389
-0.336,0.283,0.736,-1.831,58.533,106.506
-0.239,0.299,0.737,-7.935,58.411,111.572
-0.173,0.305,0.777,-14.282,51.086,111.877
-0.139,0.296,0.840,-19.470,38.696,107.483
-0.135,0.292,0.914,-20.996,28.564,100.586
-0.141,0.283,0.965,-19.531,25.269,93.262
-0.144,0.269,0.988,-15.503,29.602,86.243
-0.163,0.270,0.982,-10.315,38.269,80.017
-0.185,0.271,0.958,-5.127,47.241,74.890
-0.206,0.284,0.928,-1.648,54.321,71.167
-0.214,0.276,0.894,-1.404,59.143,69.702
-0.212,0.262,0.874,-3.174,60.547,73.792
-0.184,0.278,0.858,-4.578,59.448,81.909
-0.137,0.307,0.852,-8.301,55.054,87.524
-0.092,0.326,0.874,-13.184,47.363,90.393
-0.058,0.339,0.915,-17.639,39.490,90.210
-0.034,0.340,0.968,-20.935,34.302,86.792
-0.034,0.342,1.015,-20.569,33.691,81.299
-0.053,0.343,1.047,-16.418,37.537,74.951
-0.068,0.340,1.057,-8.911,45.349,69.458
-0.085,0.338,1.037,-0.122,54.932,65.491
-0.103,0.337,1.001,7.690,62.073,62.866
-0.119,0.336,0.953,13.123,65.186,62.012
-0.132,0.335,0.902,15.076,64.026,64.026
-0.148,0.333,0.867,13.489,60.242,69.763
-0.140,0.316,0.848,9.033,56.091,77.087
-0.086,0.299,0.835,3.113,53.284,84.351
0.010,0.299,0.830,-1.648,50.415,93.384
0.088,0.314,0.854,-5.432,44.067,99.121
0.121,0.305,0.908,-9.277,33.997,97.473
0.143,0.294,0.958,-10.010,26.306,91.736
-1.731,1.376,0.714,-56.519,-148.132,-124.084
-1.646,1.280,0.729,-47.058,-134.338,-89.844
-1.563,1.148,0.733,-35.828,-114.685,-67.261
-1.500,1.019,0.713,-24.719,-91.187,-51.392
-1.469,0.906,0.665,-16.968,-66.284,-36.377
-1.407,0.769,0.629,-9.277,-48.218,-23.437
-1.292,0.624,0.604,-4.395,-45.959,-13.245
-1.157,0.508,0.603,-8.484,-51.331,2.014
-1.047,0.418,0.609,-21.790,-61.096,22.156
-0.917,0.359,0.631,-40.833,-68.909,41.931
-0.778,0.322,0.670,-55.786,-71.289,56.152
-0.671,0.324,0.727,-63.843,-67.505,66.162
-0.609,0.363,0.810,-63.171,-56.702,69.702
-0.575,0.391,0.888,-56.885,-40.283,65.063
-0.565,0.410,0.952,-45.166,-18.616,56.519
-0.545,0.425,0.970,-28.015,5.188,47.607
-0.505,0.443,0.940,-11.353,26.855,40.283
-0.455,0.450,0.868,-1.831,38.269,37.109
-0.375,0.414,0.816,-0.366,35.706,37.842
