aX,aY,aZ,gX,gY,gZ
-1.745,0.897,0.769,-1.709,33.997,88.318
-2.026,1.049,0.634,8.606,65.186,109.802
-2.229,1.141,0.564,13.367,105.164,137.939
-2.258,1.176,0.480,11.230,144.348,172.974
-2.227,1.197,0.357,9.827,171.570,206.665
-2.105,1.173,0.271,5.188,176.758,238.403
-1.899,1.131,0.245,-1.282,165.955,271.484
-1.626,1.115,0.207,-6.104,149.353,301.941
-1.228,1.099,0.214,-6.470,132.751,326.233
-0.802,1.109,0.187,-6.104,124.023,347.717
-0.485,1.118,0.242,-7.935,119.934,361.938
-0.148,1.191,0.208,-15.381,119.019,367.187
0.121,1.142,0.180,-19.348,123.962,363.037
0.349,1.045,0.186,-30.884,121.948,360.107
0.636,0.971,0.193,-38.147,113.159,353.027
0.876,0.960,0.197,-43.518,102.295,342.285
1.078,0.870,0.286,-54.749,84.290,322.327
1.265,0.801,0.413,-64.758,71.594,303.955
1.477,0.780,0.536,-69.031,67.078,285.706
1.630,0.736,0.660,-69.580,65.430,260.681
1.711,0.691,0.768,-63.232,62.561,229.309
1.710,0.743,0.815,-48.523,59.937,197.510
1.722,0.761,0.895,-33.020,57.129,165.283
1.667,0.754,0.959,-26.855,57.434,139.709
1.571,0.789,0.946,-24.414,60.303,113.037
1.559,0.705,0.937,-15.015,82.336,86.853
1.460,0.677,0.939,-4.333,71.472,66.406
1.371,0.630,0.932,2.747,45.288,40.283
1.276,0.594,0.903,4.395,26.611,18.250
1.191,0.585,0.936,0.427,4.578,1.648
1.062,0.577,0.985,-2.258,-12.268,-8.789
1.030,0.591,1.014,-2.319,-18.372,-22.095
0.960,0.590,1.062,-5.554,-21.301,-34.668
0.871,0.575,1.046,-5.920,-11.597,-43.579
0.823,0.590,1.066,-5.615,0.244,-50.171
0.723,0.603,1.091,-4.517,8.179,-57.373
0.633,0.604,1.115,-0.549,15.808,-67.566
0.530,0.627,1.143,3.601,23.193,-77.515
0.456,0.634,1.169,13.489,29.297,-84.534
0.387,0.589,1.121,23.376,31.311,-91.675
0.347,0.565,1.068,34.912,23.437,-96.313
0.309,0.552,1.002,44.373,9.460,-92.041
0.290,0.515,0.928,44.922,-8.484,-87.463
0.268,0.497,0.879,25.269,-27.771,-85.632
0.262,0.446,0.877,10.132,-44.434,-81.787
0.282,0.492,0.878,12.329,-58.716,-79.407
0.253,0.500,0.861,11.108,-67.505,-85.388
0.206,0.536,0.871,0.427,-68.420,-94.055
0.157,0.473,0.870,-11.658,-61.157,-102.356
0.108,0.462,0.937,-5.920,-48.157,-108.337
0.085,0.432,0.992,-1.465,-29.968,-111.328
0.078,0.440,1.006,4.761,-11.902,-111.938
0.082,0.447,0.968,12.878,0.061,-112.244
0.121,0.588,0.996,20.203,5.554,-115.662
0.110,0.252,0.729,45.166,10.864,-131.165
0.121,0.396,0.849,30.823,1.587,-137.695
0.068,0.352,0.891,3.357,-20.203,-130.432
0.082,0.384,0.882,19.348,-24.231,-121.521
0.069,0.342,0.825,22.278,-30.151,-115.723
0.059,0.347,0.836,21.484,-36.804,-110.657
0.066,0.366,0.855,17.517,-45.593,-104.980
0.067,0.358,0.829,14.954,-49.500,-100.464
0.048,0.374,0.834,6.653,-52.185,-96.069
0.039,0.352,0.852,0.732,-53.406,-95.215
0.033,0.352,0.865,0.305,-50.781,-95.276
0.021,0.345,0.892,0.366,-44.128,-95.398
0.035,0.308,0.911,0.427,-34.607,-93.872
