aX,aY,aZ,gX,gY,gZ
-0.364,0.362,2.540,196.655,-33.020,42.847
-0.333,0.295,2.535,243.164,-40.955,57.556
-0.287,0.245,2.442,287.598,-46.204,74.402
-0.222,0.340,2.357,318.909,-40.833,86.731
-0.138,0.376,2.271,351.440,-30.518,94.910
-0.101,0.370,2.179,394.958,-17.151,103.821
-0.033,0.356,1.987,444.092,-3.357,112.976
0.042,0.391,1.706,495.361,9.094,124.207
0.096,0.517,1.485,534.668,18.372,134.216
0.096,0.635,1.253,569.824,26.428,139.587
0.118,0.743,0.884,606.995,35.583,144.714
0.097,0.914,0.472,628.479,53.284,152.161
0.062,0.979,0.082,635.559,80.627,153.748
0.066,0.978,-0.395,629.150,112.671,149.353
-0.008,0.878,-0.843,600.830,144.592,143.677
-0.163,0.730,-1.205,556.335,177.063,132.996
-0.278,0.654,-1.498,504.761,204.346,122.864
-0.357,0.534,-1.682,449.036,223.877,122.559
-0.435,0.469,-1.845,398.010,242.004,117.981
-0.508,0.446,-2.008,354.309,253.967,110.901
-0.621,0.435,-2.164,321.167,241.150,104.126
-0.727,0.419,-2.319,296.387,189.209,98.267
-0.801,0.379,-2.453,273.193,103.577,90.820
-0.713,0.356,-2.641,243.591,4.395,89.905
-0.427,0.275,-2.891,197.449,-71.838,88.562
-0.107,-0.013,-3.022,133.911,-99.182,79.041
0.125,-0.276,-2.793,53.589,-76.172,65.186
0.301,-0.355,-2.226,-34.912,-31.311,50.842
0.503,-0.396,-1.575,-110.962,5.981,33.203
0.679,-0.419,-1.004,-154.602,15.564,18.616
0.743,-0.465,-0.600,-169.983,3.723,0.427
0.745,-0.542,-0.358,-162.415,-18.188,-21.912
0.662,-0.667,-0.273,-143.250,-40.649,-43.274
0.543,-0.747,-0.278,-129.395,-60.669,-58.411
0.403,-0.775,-0.346,-121.155,-71.594,-62.805
0.278,-0.779,-0.416,-117.737,-68.359,-60.791
0.167,-0.785,-0.473,-117.249,-55.908,-54.993
0.081,-0.789,-0.521,-119.568,-40.283,-46.204
0.035,-0.779,-0.552,-123.474,-24.475,-33.752
0.015,-0.759,-0.579,-126.709,-10.864,-21.362
0.041,-0.743,-0.594,-128.723,-2.136,-11.780
0.050,-0.732,-0.592,-129.333,1.892,-7.080
0.082,-0.718,-0.586,-129.395,-0.427,-6.897
0.159,-0.721,-0.590,-129.272,-7.263,-7.385
0.227,-0.765,-0.546,-131.409,-15.076,-7.568
0.294,-0.801,-0.472,-138.306,-22.461,-11.108
0.319,-0.804,-0.381,-147.522,-28.687,-18.799
0.319,-0.802,-0.298,-152.283,-33.997,-27.039
0.289,-0.825,-0.260,-151.855,-37.659,-32.349
0.247,-0.830,-0.255,-147.400,-39.612,-33.325
0.217,-0.801,-0.273,-141.907,-38.208,-32.166
0.202,-0.794,-0.286,-138.123,-33.569,-31.799
0.191,-0.789,-0.291,-144.043,-26.428,-32.654
0.203,-0.782,-0.294,-152.588,-20.386,-34.485
0.196,-0.783,-0.256,-168.030,-13.245,-37.781
0.181,-0.762,-0.156,-188.232,-6.531,-39.490
0.173,-0.770,-0.056,-203.796,-2.563,-37.292
0.201,-0.706,0.070,-205.261,-0.610,-32.776
0.198,-0.759,0.165,-184.875,-2.380,-29.419
0.156,-0.804,0.223,-168.518,-8.850,-34.851
0.077,-0.841,0.208,-137.512,-22.156,-40.405
0.060,-0.793,0.152,-121.033,-34.241,-36.255
0.046,-0.744,0.103,-123.901,-39.795,-31.799
0.072,-0.716,0.064,-130.554,-37.964,-31.372
0.097,-0.670,0.070,-153.076,-26.184,-34.851
0.111,-0.644,0.140,-182.373,-8.667,-39.551
0.114,-0.591,0.270,-208.008,3.479,-42.725
0.101,-0.581,0.402,-222.290,3.662,-44.800
0.063,-0.586,0.512,-225.220,-8.484,-44.434
0.037,-0.596,0.584,-219.055,-26.978,-42.480
0.024,-0.594,0.638,-206.726,-47.852,-39.551
0.003,-0.578,0.695,-196.350,-69.336,-36.865
0.012,-0.547,0.755,-193.237,-85.693,-34.119
