aX,aY,aZ,gX,gY,gZ
-0.126,-1.446,1.995,-46.143,66.223,-18.066
-0.225,-1.556,2.047,-39.856,75.745,-34.607
-0.326,-1.629,2.056,-24.963,90.637,-53.894
-0.344,-1.645,2.002,-7.507,107.117,-70.557
-0.265,-1.588,1.873,5.310,117.676,-81.299
-0.127,-1.436,1.704,15.015,115.967,-84.778
0.108,-1.161,1.506,20.386,103.394,-82.214
0.328,-0.805,1.337,16.846,84.045,-79.529
0.411,-0.433,1.251,15.503,61.768,-76.538
0.573,-0.118,1.093,27.893,40.833,-64.636
0.798,0.230,0.772,50.049,19.714,-40.039
0.940,0.767,0.317,65.063,0.732,-13.855
1.019,1.200,-0.057,63.843,-12.024,-0.549
1.184,1.587,-0.349,44.983,-14.771,2.014
1.229,2.075,-0.529,9.766,-17.334,-7.812
1.151,2.544,-0.565,-32.898,-18.372,-36.377
1.006,2.920,-0.455,-68.542,-19.409,-72.754
0.595,3.100,-0.252,-94.910,-33.508,-115.417
-0.025,3.029,-0.046,-116.821,-70.251,-166.992
-0.786,2.688,0.110,-135.925,-121.460,-208.618
-1.465,2.177,0.120,-149.170,-167.603,-214.600
-1.823,1.781,0.129,-150.269,-193.848,-174.683
-1.845,1.586,0.214,-138.733,-186.584,-103.760
-1.511,1.479,0.380,-112.427,-143.372,-23.865
-0.878,1.442,0.545,-80.139,-74.646,51.147
-0.153,1.531,0.629,-52.307,-1.404,109.680
0.451,1.636,0.648,-33.264,53.955,135.010
0.839,1.665,0.611,-18.921,78.552,131.226
0.997,1.489,0.602,-0.854,70.129,116.211
1.020,1.383,0.619,11.719,28.198,98.389
0.907,1.259,0.638,7.141,-3.845,108.643
0.806,1.090,0.662,0.732,-15.259,122.742
0.783,0.878,0.675,0.549,-19.287,130.859
0.815,0.728,0.681,11.597,-20.935,141.296
0.830,0.574,0.649,25.513,-18.982,147.766
0.829,0.452,0.615,36.255,-20.630,143.127
0.768,0.297,0.625,42.114,-24.170,128.906
0.668,0.137,0.640,39.185,-21.973,116.272
0.568,-0.012,0.690,39.368,-14.282,103.027
0.496,-0.081,0.765,41.016,-8.728,87.708
0.425,-0.103,0.814,40.771,-2.686,72.754
0.352,-0.147,0.867,44.312,1.526,57.373
0.283,-0.141,0.908,42.664,1.587,44.067
0.256,-0.142,0.916,35.278,-1.526,33.569
0.220,-0.143,0.944,23.865,-8.423,23.315
0.123,-0.140,1.004,12.512,-17.212,14.771
0.007,-0.159,1.063,4.089,-24.414,8.667
-0.070,-0.170,1.100,2.625,-27.649,5.676
-0.122,-0.146,1.103,5.859,-27.832,5.127
-0.170,-0.128,1.088,11.292,-26.062,3.052
-0.191,-0.121,1.066,15.686,-21.423,0.061
-0.201,-0.103,1.041,18.188,-14.526,-0.122
-0.187,-0.054,1.001,19.836,-7.874,-3.357
-0.174,-0.003,0.985,19.531,-3.906,-9.949
-0.169,0.059,0.990,17.456,0.793,-16.541
-0.169,0.104,1.016,13.672,9.521,-20.630
-0.176,0.137,1.072,9.277,19.287,-20.691
-0.156,0.138,1.135,8.606,24.048,-17.151
-0.187,0.155,1.150,14.587,24.475,-11.475
-0.167,0.173,1.138,21.179,21.606,-7.629
-0.141,0.170,1.155,30.212,16.113,-6.409
-0.123,0.187,1.141,31.250,9.338,-4.517
-0.114,0.197,1.127,25.818,4.517,-2.075
-0.101,0.217,1.117,19.287,2.808,-2.258
-0.109,0.184,1.140,12.695,2.502,-3.967
-0.088,0.167,1.181,13.733,0.488,-11.536
-0.078,0.173,1.118,13.672,-4.028,-15.259
-0.146,0.119,1.092,20.325,-5.981,-19.653
